url,post_nummer,latitude,longitude,boligtype,boligstorrelse,grundstorrelse,vaerelser,etage,byggeår,om_byggeår,skatter,boligareal_tinglyst,toiletter,badevaerelser,pris,salgsmaned,salgsar
https://www.boliga.dk/bolig/1843135/guldsmedestraede_4_st_tv_naerheden_2640_hedehusene,"Guldsmedestræde 4, st. tv 2640 Hedehusene",55.647,12.1936,Ejerlejlighed,91,0,3,0,2021,,0,81,1,1,2995000,11,2021
https://www.boliga.dk/bolig/1843367/heimdalsgade_20__3_th_2200_koebenhavn_n,"Heimdalsgade 20, 3. th 2200 København N",55.6759,12.5655,Ejerlejlighed,57,0,2,3,1938,0,699,52,1,1,2995000,11,2021
https://www.boliga.dk/bolig/1843296/charlottenlundvej_2b_2_tv_2900_hellerup,"Charlottenlundvej 2B, 2. tv 2900 Hellerup",55.732,12.5709,Ejerlejlighed,55,0,2,2,1939,0,867,52,1,1,3095000,11,2021
https://www.boliga.dk/bolig/1843056/lindebugten_2_1_tv_2500_valby,"Lindebugten 2, 1. tv 2500 Valby",55.6581,12.5241,Ejerlejlighed,79,0,3,1,1930,0,1066,74,1,1,3245000,11,2021
https://www.boliga.dk/bolig/1843200/vangedevej_158a_st_tv_2870_dyssegaard_,"Vangedevej 158A, st. tv 2870 Dyssegård",55.7728,12.494,Ejerlejlighed,81,0,2,0,1987,0,1266,75,1,1,3250000,11,2021
https://www.boliga.dk/bolig/1843106/tuborgvej_21_st_doerlejl_5_2900_hellerup,"Tuborgvej 21, st. 5 2900 Hellerup",55.732,12.5709,Ejerlejlighed,69,0,2,0,1978,,1372,61,1,1,3400000,11,2021
https://www.boliga.dk/bolig/1843166/kirsebaervaenget_6_1_th_2800_kongens_lyngby,"Kirsebærvænget 6, 1. th 2800 Kongens Lyngby",55.7704,12.5038,Ejerlejlighed,94,0,4,1,1952,,1507,88,1,1,3495000,11,2021
https://www.boliga.dk/bolig/1843163/dronningensgade_61_2_tv_1420_koebenhavn_k,"Dronningensgade 61, 2. tv 1420 København K",55.6759,12.5655,Ejerlejlighed,66,0,2,2,1938,,816,59,1,1,3600000,11,2021
https://www.boliga.dk/bolig/1843199/aksel_moellers_have_22_st_th_2000_frederiksberg,"Aksel Møllers Have 22, st. th 2000 Frederiksberg",55.6794,12.5346,Ejerlejlighed,70,0,2,0,1946,0,1029,57,1,1,3695000,11,2021
https://www.boliga.dk/bolig/1843091/skaffervej_3__st_2400_koebenhavn_nv,"Skaffervej 3, st. 2400 København NV",55.705548,12.533229,Ejerlejlighed,119,0,4,0,1935,0,1974,113,2,2,4498000,11,2021
